subnum,group,sex,actuhap,ideahap,depress,rigoract,cultatt,temperatt
5284,3,1,0.168408267,0.764265257,36,0,4.5,-0.333333333
5285,3,1,0.521286035,0.785768247,2,0,3.166666667,0.833333333
5286,3,1,-0.879396411,0.998980416,21,0,3.666666667,-0.333333333
5287,3,1,0.596039561,0.639602149,8,0,5.166666667,0.666666667
5288,3,1,-0.237078234,0.664959121,23,0,3.666666667,-0.166666667
5289,3,1,-0.015413219,0.603358581,6,0,2.833333333,0
5290,3,1,1.276197128,0.142899153,4,0,3.333333333,-0.833333333
5291,3,1,0.290272243,0.635671547,3,0,4,0.666666667
5292,3,1,-0.800323547,0.731145404,8,0,3.166666667,0
5293,3,1,-0.287349995,0.27184636,10,0,3.333333333,1
5294,3,1,-0.729800449,0.051070063,14,0,2.666666667,-0.833333333
5295,3,1,-0.188982237,-0.087831007,16,0,4.5,0.166666667
5296,3,0,0.554415953,0.485504156,15,2,4.166666667,-1.5
